Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,46.42438889,52.18721771,52.45247269,56.16043472,60.04951096,59.91960526,61.37234497,66.82388306,71.22509003,74.0642395,80.0892334,81.52112579
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,560.621505463146,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892
Afghanistan,AFG,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,78.9966507,73.25517273,74.48620605,72.04785919,73.05592346,78.3822937,75.97433472,75.48258209,76.22302246,76.818367,74.81396484,77.21405029
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.809,7.83,7.875,7.921,7.915,9.032,10.116,11.184,11.192,11.187,11.71,12.006
Africa Eastern and Southern,AFE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,104.353723653982,112.500235569633,109.276549861823,104.979280345368,98.492735401455,90.7980923306796,85.6874598126392,89.8672604899708,89.9693693736129,87.0398773156759,81.4461401594807,92.3503331753643
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1628.90524793139,1761.98926096159,1732.03802145335,1706.02274412621,1690.16679245944,1498.8752400759,1334.47050032928,1528.10422421284,1552.07372194919,1507.08559963484,1351.59166910879,1562.41617477738
Africa Eastern and Southern,AFE,Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,17.4589991794968,17.0003192995585,16.7880608812188,18.926038561047,18.072682957507,19.6008767100439,19.3609538334728,17.0836177225454,15.1552139416278,15.3988094246281,15.4093905810149,14.5502080853872
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.33948885318777,7.303350943492,7.10873740350119,6.88972223038428,6.86242857576034,6.9309412585873,7.07442880999326,7.21491501896869,7.24484282680541,7.45910636823544,7.97430164130982,8.40741154700022
Africa Western and Central,AFW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,59.5797915125488,65.3647503760098,67.9589907453005,75.4907081562219,78.7366053577424,70.7050018857143,61.7002428533635,58.5098170485272,56.2860408736151,59.2671342584212,64.6241898845638,72.6328495675799
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1662.63365844147,1844.05436728177,1941.11824321812,2131.60609132899,2221.35033761012,1860.72768628324,1630.03943895258,1574.23056437855,1720.14009242722,2216.38505520833,2030.86165860293,2112.79407637079
