iso3,country,rate_pre,rate_pandemic,delta_suicide,income_group,psychiatrists_per_100k,uhc_index_mean,excess_mortality_covid
BRB,Barbados,3.6870000000000003,3.1399999999999997,-0.5470000000000006,High income,NA,78.2,-25.27338147
BRN,Brunei Darussalam,1.671,2.755,1.0839999999999999,High income,1.2,75.6,29.85399284
BTN,Bhutan,5.687,5.199999999999999,-0.487000000000001,Lower middle income,0.51,54.6,-338.7924464
BWA,Botswana,15.574,10.99,-4.584,Upper middle income,NA,56,6473.377873
CAF,Central African Republic,20.898,19.405,-1.4929999999999986,Low income,0.022,29.8,6451.834257
CAN,Canada,10.872,9.15,-1.7219999999999995,High income,14.68,80,26500.73276
CHE,Switzerland,10.319,9.844999999999999,-0.474000000000002,High income,43.96,80,12491.95565
CHL,Chile,9.572,7.0649999999999995,-2.5069999999999997,High income,6.97,79.2,38665.97691
CHN,China,7.753,6.87,-0.883,Upper middle income,2.2,76.2,-52105.21636
CIV,Cote d'Ivoire,14.304,12.9,-1.404,Lower middle income,0.13,40.8,15988.10917
CMR,Cameroon,14.111,13.675,-0.43599999999999994,Lower middle income,NA,41,20864.50797
COD,Democratic Republic of the Congo,14.853,15.48,0.6270000000000007,Low income,NA,37.8,49853.7546
COG,Congo,12.513,11.3,-1.2129999999999992,Lower middle income,0.08,36.8,3497.017037
COL,Colombia,4.166,4.65,0.484,Upper middle income,1.84,77.2,162218.5708
COM,Comoros,9.516,9.04,-0.47600000000000087,Low income,0.13,44.6,529.2252295
CPV,Cabo Verde,17.263,16.155,-1.1080000000000005,Lower middle income,NA,68.2,634.1912811
CRI,Costa Rica,6.176,6.789999999999999,0.613999999999999,Upper middle income,3.93,78.4,5442.387071
CUB,Cuba,10.409,9.545,-0.8640000000000008,Upper middle income,9.06,79.6,53673.2237
CYP,Cyprus,4.551,2.985,-1.5660000000000003,High income,NA,77.6,1399.087143
CZE,Czechia,11.52,10.115,-1.4049999999999994,High income,12.36,80,43247.93852
DEU,Germany,8.955,8.29,-0.6650000000000009,High income,13.2,80,101504.9743
DJI,Djibouti,10.057,10.235,0.17799999999999905,Lower middle income,NA,42.4,1158.406854
DNK,Denmark,8.708,7.9399999999999995,-0.7680000000000007,High income,NA,79.4,1297.158723
DOM,Dominican Republic,5.974,4.38,-1.5940000000000003,Upper middle income,2.28,74.4,9022.087355
DZA,Algeria,2.298,2.085,-0.21300000000000008,Upper middle income,NA,72.6,77630.57543
ECU,Ecuador,8.086,7.484999999999999,-0.6010000000000009,Upper middle income,0.46,75.8,79581.448
EGY,Egypt,1.074,0.8049999999999999,-0.26900000000000013,Lower middle income,1.6,67.2,284786.1502
ERI,Eritrea,21.076,20.015,-1.061,Low income,NA,44.4,2040.739098
ESP,Spain,5.697,6.125,0.42799999999999994,High income,9.69,79.6,107537.7452
EST,Estonia,13.839,13.49,-0.3490000000000002,High income,16.19,77,3414.192042
ETH,Ethiopia,10.215,10.585,0.370000000000001,Low income,0.076,33.4,52211.12798
FIN,Finland,14.176,12.684999999999999,-1.4910000000000014,High income,23.59,80,3767.307723
FJI,Fiji,10.045,9.11,-0.9350000000000005,Upper middle income,0.22,57.6,1722.870236
FRA,France,11.84,11.649999999999999,-0.19000000000000128,High income,20.91,80,87645.47584
FSM,Micronesia (Federated States of),22.448999999999998,20.509999999999998,-1.939,Lower middle income,NA,47.2,75.00042413
GAB,Gabon,13.491,10.7,-2.7910000000000004,Upper middle income,0.26,48.8,1238.107722
GBR,United Kingdom of Great Britain and Northern Ireland,7.65,8.445,0.7949999999999999,High income,NA,80,147084.982
GEO,Georgia,3.8890000000000002,4.775,0.8860000000000001,Lower middle income,6.71,69.4,22993.95751
GHA,Ghana,8.588000000000001,8.025,-0.5630000000000006,Lower middle income,0.058,43.6,13218.09278
GIN,Guinea,8.486,8.344999999999999,-0.1410000000000018,Low income,0.025,34.8,6522.82415
GMB,Gambia,8.829,8.51,-0.31900000000000084,Low income,0.1,44,1578.327971
GNB,Guinea-Bissau,12.146,12.475,0.32899999999999885,Low income,NA,35.4,2269.732898
GNQ,Equatorial Guinea,10.179,10.825,0.645999999999999,Upper middle income,0.68,40.8,899.0469235
GRC,Greece,3.663,3.34,-0.32299999999999995,High income,5.8,77.6,26763.70423
GRD,Grenada,0.8789,1.065,0.18609999999999993,Upper middle income,1.87,71.2,-208.3443489
GTM,Guatemala,5.978,5.48,-0.49799999999999933,Lower middle income,0.49,59.2,49056.70113
GUY,Guyana,33.374,28.97,-4.4040000000000035,Upper middle income,0.91,74,3821.232679
HND,Honduras,4.928,3.7350000000000003,-1.1929999999999996,Lower middle income,0.66,63.6,19906.13057
HRV,Croatia,11.785,10.485,-1.3000000000000007,High income,11.1,78.8,18139.04681
HTI,Haiti,9.885,9.39,-0.4949999999999992,Low income,0.075,50.6,14880.5813
HUN,Hungary,15.261,11.98,-3.280999999999999,High income,11.08,77.6,39018.89517
IDN,Indonesia,1.804,1.38,-0.42400000000000015,Lower middle income,0.31,51.4,1067864.871
IND,India,15.596,12.899999999999999,-2.6960000000000015,Lower middle income,0.29,58.6,4734515.512
IRL,Ireland,9.779,7.715,-2.064,High income,NA,79.4,4461.876218
IRN,Iran (Islamic Republic of),4.344,3.7800000000000002,-0.5640000000000001,Upper middle income,2.02,68.6,295532.3631
IRQ,Iraq,4.363,3.825,-0.5380000000000003,Upper middle income,0.34,56.6,44847.04627
ISL,Iceland,11.58,11.455,-0.125,High income,NA,80,87.92231022
ISR,Israel,5.273,4.67,-0.6029999999999998,High income,9.87,79.8,7973.43049
ITA,Italy,4.959,4.455,-0.5039999999999996,High income,5.98,80,184264.22
JAM,Jamaica,1.4529999999999998,1.5899999999999999,0.137,Upper middle income,1.15,73.2,5151.039025
JOR,Jordan,0.95,0.71,-0.24,Upper middle income,1.12,68.8,16632.85409
JPN,Japan,15.86,14.56,-1.299999999999999,High income,11.87,80,196.2382287
KAZ,Kazakhstan,22.715,16.335,-6.379999999999999,Upper middle income,NA,77.2,83268.6801
KEN,Kenya,10.224,9.690000000000001,-0.5339999999999989,Lower middle income,0.18,50,28076.6301
KGZ,Kyrgyzstan,11.147,7.9,-3.247,Lower middle income,1.69,67.8,14347.96319
KHM,Cambodia,5.223,4.95,-0.2729999999999997,Lower middle income,0.39,56.4,9105.872579
KIR,Kiribati,21.249,19.165,-2.0839999999999996,Lower middle income,NA,45.8,161.3045072
KOR,Republic of Korea,23.179,20.475,-2.703999999999997,High income,5.79,80,9628.707959
KWT,Kuwait,1.459,2.0949999999999998,0.6359999999999997,High income,NA,76.8,6548.421558
LAO,Lao People's Democratic Republic,5.296,4.745,-0.5510000000000002,Lower middle income,NA,48.2,2745.602035
LBN,Lebanon,0.7989999999999999,0.755,-0.04399999999999993,Upper middle income,1.21,71.6,19546.90387
LBR,Liberia,9.761,9.695,-0.06599999999999895,Low income,0.044,39.6,1908.358765
LBY,Libya,5.704,5.109999999999999,-0.5940000000000003,Upper middle income,NA,63,10705.94269
LCA,Saint Lucia,6.978,5.665,-1.3129999999999997,Upper middle income,0.56,74,631.3915372
LKA,Sri Lanka,15.682,12.95,-2.732000000000001,Lower middle income,0.52,62.8,-7131.25742
LSO,Lesotho,34.405,39.02,4.615000000000002,Lower middle income,NA,52.2,3829.689531
LTU,Lithuania,27.583,17.845,-9.738,High income,18.45,71,17446.79437
LUX,Luxembourg,8.761,6.945,-1.815999999999999,High income,17.82,79.4,168.7210877
LVA,Latvia,17.037,13.135,-3.9019999999999992,High income,9.99,72.2,7745.328458
MAR,Morocco,3.709,2.965,-0.7440000000000002,Lower middle income,0.84,65.8,64532.93987
MDA,Republic of Moldova,13.227,10.719999999999999,-2.5070000000000014,Lower middle income,4.55,69.4,16341.81448
